I_arcSum,I_inj_total,OTor3,PlasmaRogA,V_InjD12
4.4115124,-2.5766678,-0.39753917,1542.0543,0
4.8559847,-3.6815414,-0.050233722,1542.2158,0
5.9646473,-0.81054688,-0.050233722,1542.3773,0
6.4057617,-4.3592911,-0.050233722,1542.5388,0
6.1826859,-4.1459732,0.29707184,1542.7003,0
5.9612894,-3.4908829,0.29707184,1542.8618,0
6.1843653,-3.4984436,0.29707184,1542.4116,0
6.1843653,-0.63454437,-0.050233722,1541.9615,0
6.1843653,-3.5135498,-0.050233722,1542.123,0
5.9612894,-2.6375809,-0.050233722,1542.2845,0
5.9612894,-4.1912918,0.29707184,1542.446,0
5.7382135,-5.5312576,-0.050233722,1542.6075,0
5.7382135,-4.4414978,-0.050233722,1542.769,0
4.8509474,-6.216095,-0.050233722,1542.9305,0
4.1867576,-3.573082,-0.050233722,1543.092,0
4.409833,-5.3405914,-0.050233722,1543.2537,0
4.6312294,-5.3481369,-0.39753917,1543.4152,0
4.4081535,-5.7974548,-0.39753917,1543.5767,0
4.4081535,-5.5841522,-0.050233722,1543.7382,0
4.4081535,-2.4993668,-0.050233722,1543.8997,0
3.9653604,-5.5992584,0.29707184,1544.0612,0
3.9653604,-3.6117783,-0.050233722,1544.2227,0
5.0740232,-5.1655121,-0.050233722,1544.3843,0
5.7382135,-5.8427887,-0.050233722,1544.5458,0
5.2954197,-5.864563,-0.39753917,1544.7073,0
5.0740232,-5.8650208,-0.050233722,1544.8688,0
5.0740232,-3.8917465,-0.050233722,1545.0303,0
5.2954197,-6.770752,-0.050233722,1545.1918,0
5.2954197,-6.5574341,0.29707184,1545.3533,0
5.2954197,-7.4485168,0.29707184,1545.5149,0
5.2954197,-7.2351685,0.29707184,1545.6764,0
5.7382135,-3.9295273,-0.050233722,1545.8379,0
5.7382135,-7.0365295,-0.050233722,1545.3877,0
4.6295505,-4.6072922,-0.39753917,1545.5492,0
3.9653606,-5.9330215,-0.050233722,1545.7107,0
4.4081535,-5.0499496,-0.050233722,1545.8722,0
4.6295505,-5.064621,-0.050233722,1546.0338,0
4.6295505,-5.5139236,0.29707184,1546.1953,0
4.4081535,-2.4291611,-0.050233722,1546.3568,0
4.4081535,-4.6384048,-0.050233722,1546.5183,0
4.4081535,-3.9833374,-0.39753917,1546.6798,0
4.1867571,-4.8744125,-0.050233722,1546.8413,0
4.6295505,-5.7725983,-0.050233722,1547.0028,0
4.8509474,-3.7922211,0.29707184,1547.1644,0
4.6295505,-6.0085831,0.29707184,1547.3259,0
4.1850777,-3.8073425,0.29707184,1547.4874,0
4.1850777,-6.0236969,-0.050233722,1547.6489,0
4.1850777,-6.0312576,-0.050233722,1547.8104,0
4.1850777,-6.0388031,-0.39753917,1547.9719,0
4.1850777,-6.2672501,-0.39753917,1548.1334,0
4.1850777,-3.8522339,-0.050233722,1548.295,0
4.1850777,-6.952095,-0.050233722,1548.4565,0
4.6295505,-6.5179062,0.29707184,1548.618,0
4.1867571,-7.1809845,0.29707184,1548.7795,0
4.409833,-7.4165344,-0.050233722,1548.3293,0
4.6312294,-6.77565,-0.39753917,1548.4908,0
4.4064751,-8.5502548,-0.050233722,1548.0406,0
3.9620028,-5.4583817,-0.050233722,1548.2023,0
4.408154,-7.4467545,-0.050233722,1548.9755,0
4.6312304,-7.2334366,-0.050233722,1549.137,0
4.6312304,-7.6827469,0.29707184,1547.4634,0
4.4098334,-6.7996902,0.64437717,1548.8483,0
4.4098334,-3.4940414,-0.050233722,1551.4567,0
4.6312304,-6.821907,-0.050233722,1549.1714,0
4.6312304,-5.5041809,-0.050233722,1547.4978,0
4.1867576,-5.718399,-0.39753917,1550.1062,0
4.1867576,-4.8353195,-0.050233722,1550.2677,0
4.6329088,-3.2967224,-0.050233722,1547.9823,0
5.300457,-4.6366653,-0.050233722,1548.1438,0
4.8543053,-2.4425201,0.29707184,1550.1405,0
4.6312294,-5.3215179,-0.050233722,1549.0786,0
4.6312294,-4.8873215,-0.050233722,1548.0167,0
4.8526263,-5.9992752,-0.050233722,1548.7899,0
4.8526263,-6.0068359,-0.39753917,1549.5632,0
4.4081535,-2.252327,-0.050233722,1548.5013,0
4.4081535,-4.6895752,-0.050233722,1548.0511,0
4.4081535,-3.8206863,0.29707184,1548.8243,0
4.4081535,-6.2579346,0.29707184,1548.9858,0
4.4081535,-6.0446243,0.29707184,1548.5356,0
4.1850777,-5.8312988,0.29707184,1548.6973,0
4.1850777,-6.0597305,-0.050233722,1549.4705,0
4.4064746,-2.7540741,-0.050233722,1549.0203,0
4.1867571,-5.8539658,-0.39753917,1548.5701,0
3.9670396,-6.53125,-0.39753917,1548.7316,0
4.1884365,-7.1943588,-0.050233722,1548.8932,0
4.6312294,-6.9810333,0.29707184,1548.443,0
4.6312294,-4.3380127,0.29707184,1548.6045,0
4.6312294,-5.8917313,-0.050233722,1548.766,0
4.409833,-4.5811157,0.29707184,1548.9275,0
3.9670396,-8.3507614,-0.050233722,1548.4773,0
3.968719,-7.0259018,-0.39753917,1548.6388,0
4.1917944,-6.5846024,-0.39753917,1548.8004,0
3.9703979,-6.8130493,-0.050233722,1548.3502,0
